"word_id","item_id"
0,1726
0,2069
0,2424
0,3404
0,3600
0,4239
0,8662
0,14462
0,14971
0,15974
0,17225
0,17986
0,19018
0,19681
0,19741
0,19877
0,20022
0,20033
0,20059
0,20181
0,20185
0,21668
0,21791
0,25459
0,26452
0,27189
0,27456
0,27575
0,28626
0,29092
0,32354
0,32897
0,34991
0,35152
0,35287
0,35320
0,37309
0,37773
0,37904
0,38708
0,39869
0,40363
0,46908
0,47031
0,47340
0,47445
0,48165
0,48216
0,49379
0,49545
0,50041
0,50678
1,2452
1,3610
1,11750
1,17545
1,20188
1,37693
1,37897
1,37907
1,37910
1,46453
1,47463
1,48321
2,3017
2,24787
3,15212
4,5688
5,12636
6,2170
6,14642
6,29084
7,4354
8,43295
9,13809
10,49575
11,48901
12,43819
13,49402
14,11578
15,44687
16,6555
17,4352
18,22635
19,36279
20,49611
21,29722
22,39645
23,40400
24,27376
25,29970
26,19257
27,4616
28,11557
29,38409
30,4207
31,15145
32,20846
33,13121
34,5696
35,42864
36,11554
37,22906
38,23530
39,45941
40,35838
41,42154
42,29960
43,27250
44,25364
44,26761
44,36583
44,37905
45,49497
46,1861
46,1950
46,4229
46,5451
46,6246
46,6738
46,9439
46,12426
46,12431
46,13891
46,17400
46,18597
46,19389
46,19572
46,19875
46,19881
46,20102
46,20172
46,20172
46,21438
46,21628
46,22026
46,23052
46,23170
46,23526
46,23734
46,23871
46,26877
46,27419
46,27531
46,27756
46,28363
46,28967
46,30717
46,31698
46,33473
46,35397
46,36061
46,36329
46,36738
46,37984
46,38109
46,38390
46,38390
46,39858
46,39968
46,40967
46,40967
46,41032
46,41032
46,41063
46,43101
46,45399
46,45921
46,46278
46,46366
46,46512
46,46590
46,47112
46,47302
46,47375
46,49115
46,49158
46,49751
46,49891
46,50097
46,50361
46,50388
47,1164
47,1207
47,1595
47,1859
47,2205
47,2217
47,2316
47,2335
47,2358
47,2656
47,2864
47,2925
47,2940
47,2940
47,3028
47,3154
47,3199
47,3223
47,3523
47,3610
47,3768
47,4411
47,4426
47,4828
47,5048
47,5137
47,5444
47,5449
47,5469
47,5596
47,6131
47,6453
47,6577
47,6866
47,6866
47,6972
47,7301
47,7646
47,8378
47,8407
47,8415
47,9210
47,9213
47,9241
47,9314
47,9327
47,9780
47,10508
47,10696
47,10759
47,11128
47,11225
47,11315
47,11407
47,11485
47,11996
47,12074
47,12278
47,12333
47,12594
47,13177
47,13894
47,14011
47,14186
47,14578
47,14692
47,14697
47,14740
47,15069
47,15075
47,15144
47,15160
47,15296
47,15433
47,15443
47,15573
47,16334
